,0,1,2,3,4,5,6,7,8,9
137,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
138,"84133 : Plasberg, Otto, 1869-1924"," 89541 : Simbeck, Karl, 1882-1944",,,,,,,,
139,"84059 : Eussner, Adam, 1844-",,,,,,,,,
140,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
141,"89552 : Drosihn, Friedrich, -1871",,,,,,,,,
142,"89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",,,,,,,,,
143,"89564 : Morawski, Kazimierz, 1852-1925",,,,,,,,,
144,"91731 : Frick, Karl, 1848-",,,,,,,,,
145,nan,,,,,,,,,
146,"84059 : Eussner, Adam, 1844-",,,,,,,,,
147,"89579 : Olivieri, Alexander, 1872-1950",,,,,,,,,
148,"89589 : Ziegler, Konrat, 1884-1974"," 89701 : Wunsch, Richard, 1869-1911"," Türk, Gustav"," 89582 : Skutsch, Franz, 1865-1912"," 89573 : Hilka, Alfons, 1877-1939",,,,,
149,nan,,,,,,,,,
150,nan,,,,,,,,,
151,"84140 : Rose, Valentin, 1829-1916",,,,,,,,,
152,nan,,,,,,,,,
153,nan,,,,,,,,,
154,nan,,,,,,,,,
155,"89551 : Dombart, Bernhard, 1832-1907",,,,,,,,,
156,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
157,"89531 : Koch, Julius, 1866-",,,,,,,,,
158,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
159,nan,,,,,,,,,
160,"84186 : Vollmer, Friedrich, 1867-1923",,,,,,,,,
161,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
162,nan,,,,,,,,,
163,"84178 : Schroeder, Otto, 1851-1937",,,,,,,,,
164,"84178 : Schroeder, Otto, 1851-1937",,,,,,,,,
165,"84116 : Lehnert, Georg, 1871-",,,,,,,,,
166,nan,,,,,,,,,
167,"89580 : Preisendanz, Karl, 1883-1968"," 84140 : Rose, Valentin, 1829-1916",,,,,,,,
168,"84048 : Blass, Friedrich, 1843-1907",,,,,,,,,
169,"84050 : Christ, Wilhelm von, 1831-1906",,,,,,,,,
170,nan,,,,,,,,,
171,"89558 : Ofenloch, Ernest, 1884-",,,,,,,,,
172,"89546 : Beck, J. W. (Jan Wibertus)",,,,,,,,,
173,"84120 : Marold, Karl",,,,,,,,,
174,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
175,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
176,"89554 : Thilo, Georg, 1831-1893",,,,,,,,,
177,"89554 : Thilo, Georg, 1831-1893",,,,,,,,,
178,"84138 : Ritschl, Friedrich Wilhelm, 1806-1876"," 84136 : Reifferscheid, August, 1835-1887",,,,,,,,
179,"84099 : Ihm, Max, 1863-1909",,,,,,,,,
180,"84099 : Ihm, Max, 1863-1909",,,,,,,,,
181,"84185: Vliet, Joannes van der, 1847-1902",,,,,,,,,
182,"84049 : Buecheler, Franz, 1837-1908"," 84137 : Riese, Alexander, 1840-1922",,,,,,,,
183,"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,,,,,,,,
184,"84093 : Hercher, Rudolf, 1821-1878",,,,,,,,,
185,"89557 : Peerlkamp, Petrus Hofman, 1786-1865"," 89561 : Hamaker, H. A. (Hendrik Arent), 1789-1835"," 89553 : Geel, Jacob, 1789-1862"," 89545 : Bake, John, 1787-1864",,,,,,
