Index,DLL Author,DLL Editors,DLL Works,Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
https://catalog.hathitrust.org/Record/009789370,"45336 : Plautus, Titus Maccius","84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932",,T. Macci Plauti Comoediae,Lipsiae,in aedibus B. G. Teubneri,1892,https://catalog.hathitrust.org/Record/009789370,1892,,7 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University,,
https://catalog.hathitrust.org/Record/008691966,"45336 : Plautus, Titus Maccius","84138 : Ritschl, Friedrich Wilhelm, 1806-1876",,T. Macci Plauti comoediae,Lipsiae,in aedibus B. G. Teubneri,1871,https://catalog.hathitrust.org/Record/008691966,1871,,4 v.,,,Hathi Trust,New York Public Library,,
https://catalog.hathitrust.org/Record/007517337,"45336 : Plautus, Titus Maccius","84089 : Goetz, Georg, 1849-1932;84176 : Schöll, Fritz, 1850-1919",,T. Macci Plauti Comoediae,,in aedibus B. G. Teubneri,1901,https://catalog.hathitrust.org/Record/007517337,1901,,,,,Hathi Trust,Pennsylvania State University,,
https://catalog.hathitrust.org/Record/008910456,"45336 : Plautus, Titus Maccius","84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932",,T. Macci Plauti Comoediae,Lipsiae,in aedibus B. G. Teubneri,1895,https://catalog.hathitrust.org/Record/008910456,1895,,7 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Princeton University,,
https://catalog.hathitrust.org/Record/011553813,"45336 : Plautus, Titus Maccius","89571 : Fleckeisen, Alfred, 1820-1899",,T. Macci Plauti Comoediae,Lipsiae,sumptibus et typis B. G. Teubneri,1871,https://catalog.hathitrust.org/Record/011553813,1871,,2 v.,,,Hathi Trust,Harvard University,,
https://catalog.hathitrust.org/Record/100386367,"45255 : Lucretius Carus, Titus","91790 : Brieger, Adolf, 1832-1912",,T. Lucreti Cari De rerum natura libri sex.,Lipsiae,in aedibus B. G. Teubneri,1902,https://catalog.hathitrust.org/Record/100386367,1902,230 p.,,,,Hathi Trust,Harvard University,,
https://catalog.hathitrust.org/Record/005137277,"45255 : Lucretius Carus, Titus","91790 : Brieger, Adolf, 1832-1912",,T. Lucreti Cari De rerum natura libri sex.,Lipsiae,in aedibus B. G. Teubneri,1899,https://catalog.hathitrust.org/Record/005137277,1899,230 p.,,,,Hathi Trust,Harvard University,,
https://catalog.hathitrust.org/Record/000350070,"45036 : Cicero, Marcus Tullius","91835 : Klotz, Alfred, 1874-1956",,Scripta quae manserunt omnia.,Lipsiae,in aedibus B. G. Teubneri,1914,https://catalog.hathitrust.org/Record/000350070,1914,,,,,Hathi Trust,University of Michigan,,
https://catalog.hathitrust.org/Record/100639136,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,Scripta quae manserunt omnia.,Lipsiae,in aedibus B. G. Teubneri,1896,https://catalog.hathitrust.org/Record/100639136,1896,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California,,
https://catalog.hathitrust.org/Record/007113406,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,Scripta quae manserunt omnia.,Lipsiae,in aedibus B. G. Teubneri,1889,https://catalog.hathitrust.org/Record/007113406,1889,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California,,
