Index,Author,Editor,DLL Work Authority Record(s),Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
607,"45740 : Curtius Rufus, Quintus","Vogel, Theodor, 1836-1912",,Historiarum Alexandri Magni Macedois libri qui supersunt,Lipsiae,B. G. Teubner,1899,https://catalog.hathitrust.org/Record/007027484,1899,308 p.,,,Bibliotheca scriptorum graecorum et romanorum Teubneriana,Hathi Trust,Pennsylvania State University,,
626,"45406 : Tacitus, Cornelius","89560 : Halm, Karl, 1809-1882",,Germania. Agricola. Dialogus de oratoribus.,Lipsiae,B. G. Teubner,1888,https://catalog.hathitrust.org/Record/001810133,1888,316 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
627,"45406 : Tacitus, Cornelius","89560 : Halm, Karl, 1809-1882; Andresen, Georg, 1845-",,"Germania, Agricola, Dialogus de oratoribus",Lipsiae,B. G. Teubner,1920,https://catalog.hathitrust.org/Record/100151347,1920,324 p.,,,,Hathi Trust,Cornell University,,
639,45927 : Valerius Maximus,"89675: Schullian, Dorothy M. (Dorothy May), 1906-1989; 84102 : Kempf, Carolus, 1819-1894",,Factorum et dictorum memorabilium libri novem. Cum Iulii Paridis et Ianuarii Nepotiani epitomis.,Lipsiae,B. G. Teubner,1888,https://catalog.hathitrust.org/Record/011665092,1888,672 p.,,,,HathiTrust,Cornell University,,
651,"45347 : Propertius, Sextus","84127 : Müller, Lucian, 1836-1898",,Elegiae.,Lipsiae,B. G. Teubner,1894,https://catalog.hathitrust.org/Record/008882270,1894,138 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Princeton University,,
664,45165 : Horace,"89685 : Nauck, C. W. (Carl Wilhelm), 1813-; Krüger, G. T. A. (Georg Theodor August), 1793-1873",,Des Q. Horatius Flaccus Sämmtliche Werke für den Schulgebrauch erklar̈t.,Leipzig,B. G. Teubner,1860,https://catalog.hathitrust.org/Record/009407235,1860,,2 v.,,,HathiTrust,Princeton University,,
685,45932 : Velleius Paterculus,"89461 : Haase, Friedrich, 1808-1867",,M. Vellei Paterculi ex Historiae romanae ad M. Vinicium cos. libris duobus quae supersunt,Lipsiae,B. G. Teubner,1851,https://catalog.hathitrust.org/Record/012304026,1851,124 p.,,,,Hathi Trust,University of Minnesota,,
690,45037 : Martial,"Gilbert, Walther, 1851-",,M. Valerii Martialis Epigrammaton libri,Lipsiae,B. G. Teubner,1886,https://catalog.hathitrust.org/Record/011742582,1886,407 p.,,,,Hathi Trust,Cornell University,,
694,"45036 : Cicero, Marcus Tullius","Gast, Ernst-Reinhard 1842-1904",,"M. Tullius Ciceros erste, vierte und vierzehnte Philippische Rede: für den Schulgebrauch",Leipzig,B. G. Teubner,1891,https://catalog.hathitrust.org/Record/008009835,1891,,,,,Hathi Trust,University of California,,
701,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,M. Tullii Ciceronis Scripta quae manserunt omnia,Lipsiae,B. G. Teubner,1889,https://catalog.hathitrust.org/Record/012297010,1889,,4 v.,,,Hathi Trust,Pennsylvania State University,,
704,45254 : Livy,"Frey, Joseph, 1834-1910",,Titi Livi Ab vrbe condita liber I [-II] fur den Schulgebrauch,Leipzig,B. G. Teubner,1865,https://catalog.hathitrust.org/Record/100464680,1865,,2 v.,,,Hathi Trust,Columbia University,,
711,45254 : Livy,,,Titi Livi Ab urbe condita libri.,Lipsiae,B. G. Teubner,1891,https://catalog.hathitrust.org/Record/011712411,1891,,6 v.,,,Hathi Trust,Harvard University,,
712,45254 : Livy,"84128 : Müller, Moritz, 1854-; 84187 : Weissenborn, Wilhelm, 1803-1878",,Titi Livi Ab urbe condita libri.,Lipsiae,B. G. Teubner,1892,https://catalog.hathitrust.org/Record/100837178,1892,,6 v.,,,Hathi Trust,University of Iowa,,
714,45254 : Livy,"84128 : Müller, Moritz, 1854-; 84187 : Weissenborn, Wilhelm, 1803-1878",,Titi Livi ab urbe condita libri.,Lipsiae,B. G. Teubner,1898,https://catalog.hathitrust.org/Record/008900044,1898,,6 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
716,45254 : Livy,"84128 : Müller, Moritz, 1854-; 84187 : Weissenborn, Wilhelm, 1803-1878",,Titi Livi Ab urbe condita libri,Lipsiae,B. G. Teubner,1901,https://catalog.hathitrust.org/Record/100570459,1901,,4 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Illinois at Urbana-Champaign,,
717,45254 : Livy,"84128 : Müller, Moritz, 1854-; 84187 : Weissenborn, Wilhelm, 1803-1878",,Titi Livi Ab urbe condita libri,Lipsiae,B. G. Teubner,1898,https://catalog.hathitrust.org/Record/006792413,1898,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Pennsylvania State University,,
718,45254 : Livy,"Heraeus, W. (Wilhelm), 1862-1938; 84128 : Müller, Moritz, 1854-; 84187 : Weissenborn, Wilhelm, 1803-1878",,Titi Livi Ab urbe condita libri,Lipsiae,B. G. Teubner,1908,https://catalog.hathitrust.org/Record/001769267,1908,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,Rome; History.,
