,Index,DLL Author,DLL Editors,Same or Different?,DLL Works Rachel,DLL Works SJH,Title,Place,Publisher,Date,Archive,Library Catalog,,,,,,
421,https://catalog.hathitrust.org/Record/011742710,"44757 : Eutropius, active 4th century","84143 : Rühl, Franz, 1845-1916",Same,Breuiarium ab urbe condita (80507),Breuiarium ab urbe condita (80507),Breviarium ad urbe condita,Lipsiae,B. G. Teubner,1897,https://catalog.hathitrust.org/Record/011742710,1897,90 p.,,,,HathiTrust,Cornell University
494,https://catalog.hathitrust.org/Record/001808486,"44757 : Eutropius, active 4th century","84053 : Dietsch, Heinrich Rudolf, 1814-1875;89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",Same,Breuiarium ab urbe condita (80507),Breuiarium ab urbe condita (80507),Eutropii Breviarium historiae romanae,Lipsiae,sumptibus et typis B. G. Teubneri,1877,https://catalog.hathitrust.org/Record/001808486,1877,78 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of Michigan
495,https://catalog.hathitrust.org/Record/011605184,"44757 : Eutropius, active 4th century","84053 : Dietsch, Heinrich Rudolf, 1814-1875;84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",Same,Breuiarium ab urbe condita (80507),Breuiarium ab urbe condita (80507),Eutropii Breviarium historiae romanae,Lipsiae,sumptibus et typis B. G. Teubneri,1857,https://catalog.hathitrust.org/Record/011605184,1857,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,Harvard University
496,https://catalog.hathitrust.org/Record/100639183,"44757 : Eutropius, active 4th century","84143 : Rühl, Franz, 1845-1916",Same,Breuiarium ab urbe condita (80507),Breuiarium ab urbe condita (80507),Eutropi Breviarium ad urbe condita,Lipsiae,in aedibus B. G. Teubneri,1919,https://catalog.hathitrust.org/Record/100639183,1919,90 p.,,,,HathiTrust,University of California
131,https://catalog.hathitrust.org/Record/006759914,44669 : Commodianus,"89536 : Ludwig, Ernst, 1845-1912",Same,Carmen Apologeticum (80361);Instructiones (80364),Carmen Apologeticum (80361);Instructiones (80364),Commodiani Carmina,Lipsiae,in aedibus B. G. Teubneri,1878,https://catalog.hathitrust.org/Record/006759914,1878,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of California
133,https://catalog.hathitrust.org/Record/100737798,44669 : Commodianus,"89536 : Ludwig, Ernst, 1845-1912",Same,Carmen Apologeticum (80361);Instructiones (80364),Carmen Apologeticum (80361);Instructiones (80364),Commodiani Carmina,Lipsiae,in aedibus B. G. Teubneri,1877,https://catalog.hathitrust.org/Record/100737798,1877,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of Chicago
74,https://catalog.hathitrust.org/Record/011725343,"44793 : Catullus, Gaius Valerius","84127 : Müller, Lucian, 1836-1898",Same,Carmina (87405),Carmina (87405),Carmina,Lipsiae,in aedibus B. G. Teubneri,1891,https://catalog.hathitrust.org/Record/011725343,1891,74 p.,,,,HathiTrust,University of Wisconsin - Madison
147,https://catalog.hathitrust.org/Record/100853137,"44793 : Catullus, Gaius Valerius","84045 : Baehrens, Emil, 1848-1888",Same,Carmina (87405);Carminum fragmenta (87406),Carmina (87405);Carminum fragmenta (87406),Catulli Veronensis liber,Lipsiae,in aedibus B. G. Teubneri,1893,https://catalog.hathitrust.org/Record/100853137,1893,127 p.,,,,HathiTrust,University of California
161,https://catalog.hathitrust.org/Record/001725173,"44793 : Catullus, Gaius Valerius","84127 : Müller, Lucian, 1836-1898",Same,Carmina (87405);Carminum fragmenta (87406),Carmina (87405);Carminum fragmenta (87406),Q. Valerii Catulli Carmina,Lipsiae,in aedibus B. G. Teubneri,1891,https://catalog.hathitrust.org/Record/001725173,1891,74 p.,,,Bibliotheca scriptorum graecorum et romanorum Teubneriana,HathiTrust,University of Michigan
163,https://catalog.hathitrust.org/Record/011223328,"44793 : Catullus, Gaius Valerius","84127 : Müller, Lucian, 1836-1898",Same,Carmina (87405);Carminum fragmenta (87406),Carmina (87405);Carminum fragmenta (87406),Q. Valerii Catulli Carmina,Lipsiae,in aedibus B. G. Teubneri,1903,https://catalog.hathitrust.org/Record/011223328,1903,74 p.,,Carmina,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of Minnesota
