Ed1;Ed2;2;3;4;5
"89560 : Halm, Karl, 1809-1882"
"84138 : Ritschl, Friedrich Wilhelm, 1806-1876;84136 : Reifferscheid, August, 1835-1887"
"84099 : Ihm, Max, 1863-1909"
"84099 : Ihm, Max, 1863-1909"
"84049 : Buecheler, Franz, 1837-1908;84137 : Riese, Alexander, 1840-1922"
"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966"
"84142 : Roth, Karl Ludwig, 1790-1868"
"84142 : Roth, Karl Ludwig, 1790-1868"
""
"84142 : Roth, Karl Ludwig, 1790-1868"
"84142 : Roth, Karl Ludwig, 1790-1868"
"84142 : Roth, Karl Ludwig, 1790-1868"
""
"84142 : Roth, Karl Ludwig, 1790-1868"
"84138: Ritschl, Friedrich Wilhelm, 1806-1876;84136: Reifferscheid, August, 1835-1887"
""
"84138 : Ritschl, Friedrich Wilhelm, 1806-1876;84136: Reifferscheid, August, 1835-1887"
""
"91894 : Zangemeister, Karl Friedrich Wilhelm, 1837-1902"
"91830 : Jahn, Johann Christian, 1797-1847"
"84127 : Müller, Lucian, 1836-1898"
"91813 : Güthling, Otto, 1853-1931"
"91713 : 91713 : Ribbeck, Otto, 1827-1898"
"84127 : Müller, Lucian, 1836-1898"
"91831 : Janell, Walther, 1877-1932;91713 : Ribbeck, Otto, 1827-1898"
"91713 : Ribbeck, Otto, 1827-1898"
"91894 : Zangemeister, Karl Friedrich Wilhelm, 1837-1902"
"84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928"
"89679 : Fickelscherer, Martin"
"84174 : Schmitt, Johann Christoph"
"84127 : Müller, Lucian, 1836-1898"
"91894 : Zangemeister, Karl Friedrich Wilhelm, 1837-1902"
"91813 : Güthling, Otto, 1853-1931"
"91713 : Ribbeck, Otto, 1827-1898"
"91713 : Ribbeck, Otto, 1827-1898"
"84127 : Müller, Lucian, 1836-1898"
"91813 : Güthling, Otto, 1853-1931"
"84127 : Müller, Lucian, 1836-1898"
"91713 : Ribbeck, Otto, 1827-1898"
"84099 : Ihm, Max, 1863-1909"
"91713 : Ribbeck, Otto, 1827-1898"
"89684: Merkel, Rudolf, 1811-1885"
"89684: Merkel, Rudolf, 1811-1885"
"91728 : Ehwald, Rudolf, 1847-1927;89684 : Merkel, Rudolf, 1811-1885"
"89571 : Fleckeisen, Alfred, 1820-1899"
"89571 : Fleckeisen, Alfred, 1820-1899"
"91835 : Klotz, Alfred, 1874-1956"
"89571 : Fleckeisen, Alfred, 1820-1899"
"89571 : Fleckeisen, Alfred, 1820-1899"
"89571 : Fleckeisen, Alfred, 1820-1899"
"89571 : Fleckeisen, Alfred, 1820-1899"
"91835 : Klotz, Alfred, 1874-1956"
"89684 : Merkel, Rudolf, 1811-1885;91728 : Ehwald, Rudolf, 1847-1927"
"91728 : Ehwald, Rudolf, 1847-1927;89684 : Merkel, Rudolf, 1811-1885"
"91726 : Kohlmann, Philipp, 1842-1889"
"89571 : Fleckeisen, Alfred, 1820-1899"
"91728 : Ehwald, Rudolf, 1847-1927;89684 : Merkel, Rudolf, 1811-1885"
"84117 : Lommatzsch, Ernst, 1871-1949"
"89571 : Fleckeisen, Alfred, 1820-1899"
"91728 : Ehwald, Rudolf, 1847-1927;89684 : Merkel, Rudolf, 1811-1885"
"89684 : Merkel, Rudolf, 1811-1885"
"91728 : Ehwald, Rudolf, 1847-1927;89684: Merkel, Rudolf, 1811-1885"
"91728 : Ehwald, Rudolf, 1847-1927;89684 : Merkel, Rudolf, 1811-1885"
"91835 : Klotz, Alfred, 1874-1956"
"91726 : Kohlmann, Philipp, 1842-1889;84045 : Baehrens, Emil, 1848-1888"
"89530 : Jahnke, Richard, 1868-1933;Kohlmann, Philipp, 1842-1889;84045 : Baehrens, Emil, 1848-1888"
"89571 : Fleckeisen, Alfred, 1820-1899"
"91728 : Ehwald, Rudolf, 1847-1927;89684 : Merkel, Rudolf, 1811-1885"
"89571 : Fleckeisen, Alfred, 1820-1899"
""
""
"84127 : Müller, Lucian, 1836-1898"
"84174 : Schmitt, Johann Christoph"
"84177 : Schöne, Richard, 1840-1922"
"84098 : Hug, Arnold, 1832-1895"
"84189 : Wessner, Paul, 1870-1933"
"84189 : Wessner, Paul, 1870-1933"
""
"84133 : Plasberg, Otto, 1869-1924"
"89575 : Klotz, Reinhold, 1807-1870"
"84128 : Müller, Moritz, 1854-;84187 : Weissenborn, Wilhelm, 1803-1878"
"84128 : Müller, Moritz, 1854-;84187 : Weissenborn, Wilhelm, 1803-1878"
"84061 : Friedersdorff, F. (Franz), 1846-1911?;84126 : Müller, H. J.;84118 : Luterbacher, Franz, 1850-1924;84190 : Wölfflin, Eduard von, 1831-1908;84128 : Müller, Moritz, 1854-"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84095 : Hertz, Martin"
"84097 : Hosius, Carl, 1866-1937;84095 : Hertz, Martin"
"89575 : Klotz, Reinhold, 1807-1870"
"91713 : Ribbeck, Otto, 1827-1898"
"91813 : Güthling, Otto, 1853-1931"
"84099 : Ihm, Max, 1863-1909"
"89530 : Jahnke, Richard, 1868-1933;Kohlmann, Philipp, 1842-1889;91835 : Klotz, Alfred, 1874-1956;84045 : Baehrens, Emil, 1848-1888"
""
""
""
"89605 : Knöll, Pius"
"91877 : Schlee, Friedrich, 1854-1913"
"84108 : Keil, Heinrich, 1822-1894"
"84116 : Lehnert, Georg, 1871-"
"89551 : Dombart, Bernhard, 1832-1907"
"91713 : Ribbeck, Otto, 1827-1898"
"89605 : Knöll, Pius"
"89551 : Dombart, Bernhard, 1832-1907"
"91866 : Rabe, Hugo, 1867-1932"
"91818 : Helmreich, Georg, 1849-1921"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"91713 : Ribbeck, Otto, 1827-1898"
"91818 : Helmreich, Georg, 1849-1921"
"91806 : Fox, Wilhelm, 1833-1925"
"91806 : Fox, Wilhelm, 1833-1925"
"84108 : Keil, Heinrich, 1822-1894"
"84092 : Hense, Otto, 1845-1931"
"91789 : Breysig, Alfred August Bernhard, 1831-1901"
"89551 : Dombart, Bernhard, 1832-1907"
"89551 : Dombart, Bernhard, 1832-1907"
"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903"
"91824 : Hildebrandt, Paul, 18..-19.."
"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903;Friedrich, Wilhelm"
"84116 : Lehnert, Georg, 1871-"
"91817 : Hedicke, Edmund, 1840-"
"91878 : Schmid, Theodor, 1798-1877;Jahn, Johann Christian"
"91817 : Hedicke, Edmund, 1840-"
"84186 : Vollmer, Friedrich, 1867-1923"
"84127 : Müller, Lucian, 1836-1898"
"91830 : Jahn, Johann Christian, 1797-1847"
"89601 : Holder, Alfred, 1840-1916;Keller, Otto, 1838-1927"
"89594 : Foss, Heinrich Eduard, 1805-1875"
"84127 : Müller, Lucian, 1836-1898"
"84141 : Rossbach, August, 1823-1898"
