,Ed1,Ed2,2,3,4,5
161,"84140 : Rose, Valentin, 1829-1916",,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,"84127 : Müller, Lucian, 1836-1898",,,,,
166,"89531 : Koch, Julius, 1866-",,,,,
167,"84127 : Müller, Lucian, 1836-1898",,,,,
168,,,,,,
169,"84186 : Vollmer, Friedrich, 1867-1923",,,,,
170,"84127 : Müller, Lucian, 1836-1898",,,,,
171,,,,,,
172,"84116 : Lehnert, Georg, 1871-",,,,,
173,"89558 : Ofenloch, Ernest, 1884-",,,,,
174,"89546 : Beck, J. W. (Jan Wibertus)",,,,,
175,"84120 : Marold, Karl",,,,,
176,"89560 : Halm, Karl, 1809-1882",,,,,
177,"89560 : Halm, Karl, 1809-1882",,,,,
178,"84138 : Ritschl, Friedrich Wilhelm, 1806-1876","84136 : Reifferscheid, August, 1835-1887",,,,
179,"84099 : Ihm, Max, 1863-1909",,,,,
180,"84099 : Ihm, Max, 1863-1909",,,,,
181,"84049 : Buecheler, Franz, 1837-1908","84137 : Riese, Alexander, 1840-1922",,,,
182,"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,,,,
183,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,
184,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,
185,,,,,,
186,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,
187,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,
188,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,
189,,,,,,
190,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,
191,"84138: Ritschl, Friedrich Wilhelm, 1806-1876","84136: Reifferscheid, August, 1835-1887",,,,
192,,,,,,
193,"84138 : Ritschl, Friedrich Wilhelm, 1806-1876","84136: Reifferscheid, August, 1835-1887",,,,
194,,,,,,
195,"91894 : Zangemeister, Karl Friedrich Wilhelm, 1837-1902",,,,,
196,"91830 : Jahn, Johann Christian, 1797-1847",,,,,
197,"84127 : Müller, Lucian, 1836-1898",,,,,
198,"91813 : Güthling, Otto, 1853-1931",,,,,
199,"91713 : 91713 : Ribbeck, Otto, 1827-1898",,,,,
200,"84127 : Müller, Lucian, 1836-1898",,,,,
201,"91831 : Janell, Walther, 1877-1932","91713 : Ribbeck, Otto, 1827-1898",,,,
202,"91713 : Ribbeck, Otto, 1827-1898",,,,,
203,"91894 : Zangemeister, Karl Friedrich Wilhelm, 1837-1902",,,,,
204,"84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928",,,,,
205,"89679 : Fickelscherer, Martin",,,,,
206,"84174 : Schmitt, Johann Christoph",,,,,
207,"84127 : Müller, Lucian, 1836-1898",,,,,
208,"91894 : Zangemeister, Karl Friedrich Wilhelm, 1837-1902",,,,,
209,"91813 : Güthling, Otto, 1853-1931",,,,,
210,"91713 : Ribbeck, Otto, 1827-1898",,,,,
211,"91713 : Ribbeck, Otto, 1827-1898",,,,,
212,"84127 : Müller, Lucian, 1836-1898",,,,,
213,"91813 : Güthling, Otto, 1853-1931",,,,,
214,"84127 : Müller, Lucian, 1836-1898",,,,,
215,"91713 : Ribbeck, Otto, 1827-1898",,,,,
216,"84099 : Ihm, Max, 1863-1909",,,,,
217,"91713 : Ribbeck, Otto, 1827-1898",,,,,
218,"89684: Merkel, Rudolf, 1811-1885",,,,,
219,"89684: Merkel, Rudolf, 1811-1885",,,,,
220,"91728 : Ehwald, Rudolf, 1847-1927","89684 : Merkel, Rudolf, 1811-1885",,,,
221,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
222,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
223,"91835 : Klotz, Alfred, 1874-1956",,,,,
224,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
225,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
226,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
227,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
228,"91835 : Klotz, Alfred, 1874-1956",,,,,
229,"89684 : Merkel, Rudolf, 1811-1885","91728 : Ehwald, Rudolf, 1847-1927",,,,
230,"91728 : Ehwald, Rudolf, 1847-1927","89684 : Merkel, Rudolf, 1811-1885",,,,
231,"91726 : Kohlmann, Philipp, 1842-1889",,,,,
232,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
233,"91728 : Ehwald, Rudolf, 1847-1927","89684 : Merkel, Rudolf, 1811-1885",,,,
234,"84117 : Lommatzsch, Ernst, 1871-1949",,,,,
235,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
236,"91728 : Ehwald, Rudolf, 1847-1927","89684 : Merkel, Rudolf, 1811-1885",,,,
237,"89684 : Merkel, Rudolf, 1811-1885",,,,,
238,"91728 : Ehwald, Rudolf, 1847-1927","89684: Merkel, Rudolf, 1811-1885",,,,
239,"91728 : Ehwald, Rudolf, 1847-1927","89684 : Merkel, Rudolf, 1811-1885",,,,
240,"91835 : Klotz, Alfred, 1874-1956",,,,,
241,"91726 : Kohlmann, Philipp, 1842-1889","84045 : Baehrens, Emil, 1848-1888",,,,
242,"89530 : Jahnke, Richard, 1868-1933","Kohlmann, Philipp, 1842-1889","84045 : Baehrens, Emil, 1848-1888",,,
243,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
244,"91728 : Ehwald, Rudolf, 1847-1927","89684 : Merkel, Rudolf, 1811-1885",,,,
245,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
246,,,,,,
247,,,,,,
248,"84127 : Müller, Lucian, 1836-1898",,,,,
249,"84174 : Schmitt, Johann Christoph",,,,,
250,"84177 : Schöne, Richard, 1840-1922",,,,,
251,"84098 : Hug, Arnold, 1832-1895",,,,,
252,"84189 : Wessner, Paul, 1870-1933",,,,,
253,"84189 : Wessner, Paul, 1870-1933",,,,,
254,,,,,,
255,"84133 : Plasberg, Otto, 1869-1924",,,,,
256,"89575 : Klotz, Reinhold, 1807-1870",,,,,
257,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
258,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
259,"84061 : Friedersdorff, F. (Franz), 1846-1911?","84126 : Müller, H. J.","84118 : Luterbacher, Franz, 1850-1924","84190 : Wölfflin, Eduard von, 1831-1908","84128 : Müller, Moritz, 1854-",
260,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
261,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
262,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
263,"84095 : Hertz, Martin",,,,,
264,"84097 : Hosius, Carl, 1866-1937","84095 : Hertz, Martin",,,,
265,"89575 : Klotz, Reinhold, 1807-1870",,,,,
266,"91713 : Ribbeck, Otto, 1827-1898",,,,,
267,"91813 : Güthling, Otto, 1853-1931",,,,,
268,"84099 : Ihm, Max, 1863-1909",,,,,
269,"89530 : Jahnke, Richard, 1868-1933","Kohlmann, Philipp, 1842-1889","91835 : Klotz, Alfred, 1874-1956","84045 : Baehrens, Emil, 1848-1888",,
270,,,,,,
271,,,,,,
272,,,,,,
273,"89605 : Knöll, Pius",,,,,
274,"91877 : Schlee, Friedrich, 1854-1913",,,,,
275,"84108 : Keil, Heinrich, 1822-1894",,,,,
276,"84116 : Lehnert, Georg, 1871-",,,,,
277,"89551 : Dombart, Bernhard, 1832-1907",,,,,
278,"91713 : Ribbeck, Otto, 1827-1898",,,,,
279,"89605 : Knöll, Pius",,,,,
280,"89551 : Dombart, Bernhard, 1832-1907",,,,,
281,"91866 : Rabe, Hugo, 1867-1932",,,,,
282,"91818 : Helmreich, Georg, 1849-1921",,,,,
283,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
284,"91713 : Ribbeck, Otto, 1827-1898",,,,,
285,"91818 : Helmreich, Georg, 1849-1921",,,,,
286,"91806 : Fox, Wilhelm, 1833-1925",,,,,
287,"91806 : Fox, Wilhelm, 1833-1925",,,,,
288,"84108 : Keil, Heinrich, 1822-1894",,,,,
289,"84092 : Hense, Otto, 1845-1931",,,,,
290,"91789 : Breysig, Alfred August Bernhard, 1831-1901",,,,,
291,"89551 : Dombart, Bernhard, 1832-1907",,,,,
292,"89551 : Dombart, Bernhard, 1832-1907",,,,,
293,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
294,"91824 : Hildebrandt, Paul, 18..-19..",,,,,
295,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903","Friedrich, Wilhelm",,,,
296,"84116 : Lehnert, Georg, 1871-",,,,,
297,"91817 : Hedicke, Edmund, 1840-",,,,,
298,"91878 : Schmid, Theodor, 1798-1877","Jahn, Johann Christian",,,,
299,"91817 : Hedicke, Edmund, 1840-",,,,,
300,"84186 : Vollmer, Friedrich, 1867-1923",,,,,
301,"84127 : Müller, Lucian, 1836-1898",,,,,
302,"91830 : Jahn, Johann Christian, 1797-1847",,,,,
303,"89601 : Holder, Alfred, 1840-1916","Keller, Otto, 1838-1927",,,,
304,"89594 : Foss, Heinrich Eduard, 1805-1875",,,,,
305,"84127 : Müller, Lucian, 1836-1898",,,,,
306,"84141 : Rossbach, August, 1823-1898",,,,,
307,"84045 : Baehrens, Emil, 1848-1888",,,,,
308,"84186 : Vollmer, Friedrich, 1867-1923",,,,,
309,"84045 : Baehrens, Emil, 1848-1888",,,,,
310,"91834 : Keller, Otto, 1838-1927",,,,,
311,"84127 : Müller, Lucian, 1836-1898",,,,,
312,"84127 : Müller, Lucian, 1836-1898",,,,,
313,"84127 : Müller, Lucian, 1836-1898",,,,,
314,"91888 : Vogel, Theodor, 1836-1912",,,,,
315,"84186 : Vollmer, Friedrich, 1867-1923",,,,,
316,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,
317,"84190 : Wölfflin, Eduard von, 1831-1908",,,,,
318,"91875 : Schermann, Theodor, 1878-1922",,,,,
319,"91793 : Claussen, Johannes Diederich Detlef, 1849-1929",,,,,
320,"91834 : Keller, Otto, 1838-1927","89601 : Holder, Alfred, 1840-1916",,,,
321,"84127 : Müller, Lucian, 1836-1898",,,,,
322,"91840 : Krüger, Gustav, 1837-1912",,,,,
323,"84127 : Müller, Lucian, 1836-1898",,,,,
324,"91817 : Hedicke, Edmund, 1840-",,,,,
325,"84127 : Müller, Lucian, 1836-1898",,,,,
326,"84127 : Müller, Lucian, 1836-1898",,,,,
327,"91888 : Vogel, Theodor, 1836-1912",,,,,
328,"84141 : Rossbach, August, 1823-1898",,,,,
329,"84174 : Schmitt, Johann Christoph",,,,,
330,"89612 : Reichardt, Walther, 1869-",,,,,
331,"89575 : Klotz, Reinhold, 1807-1870",,,,,
332,,,,,,
333,,,,,,
334,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
335,"84103 : Kiessling, Adolf, 1837-1892",,,,,
336,"91820 : Heraeus, W. (Wilhelm), 1862-1938","84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,
337,"84086 : Friedlein, Gottfried, 1828-1875",,,,,
338,"89594 : Foss, Heinrich Eduard, 1805-1875",,,,,
339,"89594 : Foss, Heinrich Eduard, 1805-1875",,,,,
340,,,,,,
341,"89592 : Daremberg, Charles, 1817-1872",,,,,
342,"89592 : Daremberg, Charles, 1817-1872",,,,,
343,"91876 : Schiche, Theodor",,,,,
344,"89589 : Ziegler, Konrat, 1884-1974",,,,,
345,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
346,"84191 : Zachariä von Lingenthal, Karl Eduard, 1812-1894",,,,,
347,,,,,,
348,"89551 : Dombart, Bernhard, 1832-1907",,,,,
349,"91731 : Frick, Karl, 1848-",,,,,
350,"84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,"89578 : Meister, Ferdinand Otto, 1828-1915",,,,,
355,"84099 : Ihm, Max, 1863-1909",,,,,
356,"91814 : Häckermann, Adolf 1819-",,,,,
357,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
358,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
359,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
360,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
361,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
362,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
363,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
364,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
365,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
366,,,,,,
367,"91845 : Löwe, Gustav, 1852-1883","84089 : Goetz, Georg, 1849-1932",,,,
368,"89467 : Lindsay, W. M. (Wallace Martin), 1858-1937","84189 : Wessner, Paul, 1870-1933","91820 : Heraeus, W. (Wilhelm), 1862-1938","89694 : Gundermann, Gotthold, 1856-1921","91845 : Löwe, Gustav, 1852-1883","84089 : Goetz, Georg, 1849-1932"
369,"91885 : Thulin, Carl, 1871-1921",,,,,
370,"89560 : Halm, Karl, 1809-1882",,,,,
371,"89560 : Halm, Karl, 1809-1882",,,,,
372,"89560 : Halm, Karl, 1809-1882",,,,,
373,,,,,,
374,"89560 : Halm, Karl, 1809-1882",,,,,
375,"91820 : Heraeus, W. (Wilhelm), 1862-1938","Heraeus, Carl (Karl Jesaias), 1818-1891",,,,
376,"89560 : Halm, Karl, 1809-1882",,,,,
377,"89571 : Fleckeisen, Alfred, 1820-1899","89560 : Halm, Karl, 1809-1882",,,,
378,,,,,,
379,"89560 : Halm, Karl, 1809-1882",,,,,
380,"89560 : Halm, Karl, 1809-1882","89571 : Fleckeisen, Alfred, 1820-1899",,,,
381,,,,,,
382,"84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,,
383,"89560 : Halm, Karl, 1809-1882",,,,,
384,"91818 : Helmreich, Georg, 1849-1921",,,,,
385,"89605 : Knöll, Pius",,,,,
386,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
387,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
388,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
389,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
390,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
391,,,,,,
392,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
393,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
394,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
395,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
396,"89530 : Jahnke, Richard, 1868-1933",,,,,
397,"84138 : Ritschl, Friedrich Wilhelm, 1806-1876",,,,,
398,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
399,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
400,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
401,"84059 : Eussner, Adam, 1844-",,,,,
402,"84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,,
403,"84059 : Eussner, Adam, 1844-",,,,,
404,,,,,,
405,,,,,,
406,"84059 : Eussner, Adam, 1844-",,,,,
407,,,,,,
408,"89546 : Beck, J. W. (Jan Wibertus)",,,,,
409,,,,,,
410,"84121 : Mayhoff, Karl, 1841-1914","84101 : Jan, Ludwig von 1807-1869",,,,
411,"84101 : Jan, Ludwig von 1807-1869",,,,,
412,,,,,,
413,"84121 : Mayhoff, Karl, 1841-1914",,,,,
414,"84121 : Mayhoff, Karl, 1841-1914","84101 : Jan, Ludwig von 1807-1869",,,,
415,"84121 : Mayhoff, Karl, 1841-1914","84101 : Jan, Ludwig von 1807-1869",,,,
416,"84108 : Keil, Heinrich, 1822-1894",,,,,
417,"84105 : Kukula, R. C. (Richard Cornelius), 1862-1919",,,,,
418,"84121 : Mayhoff, Karl, 1841-1914","84101 : Jan, Ludwig von 1807-1869",,,,
419,"84108 : Keil, Heinrich, 1822-1894",,,,,
420,,,,,,
421,"84092 : Hense, Otto, 1845-1931",,,,,
